shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10196,45.477615,-75.698754,50004
10196,45.477402,-75.699647,50005
10196,45.477180,-75.700616,50006
10196,45.476986,-75.701484,50007
10196,45.476856,-75.702058,50008
10196,45.476477,-75.703678,50009
10196,45.476348,-75.704214,50010
10196,45.476200,-75.704775,50011
10196,45.476090,-75.705106,50012
10196,45.475925,-75.705603,50013
10196,45.475788,-75.705960,50014
10196,45.475605,-75.706393,50015
10196,45.475341,-75.706965,50016
10196,45.475122,-75.707385,50017
10196,45.474840,-75.707880,50018
10196,45.474713,-75.708070,50019
10196,45.474313,-75.708679,50020
10196,45.473822,-75.709415,50021
10196,45.472905,-75.710785,50022
10196,45.471460,-75.712929,50023
10196,45.470933,-75.713703,50024
10196,45.470597,-75.714198,50025
10196,45.470252,-75.714718,50026
10196,45.469997,-75.715111,50027
10196,45.469815,-75.715429,50028
10196,45.469642,-75.715746,50029
10196,45.469569,-75.715925,50030
10196,45.469215,-75.716432,50031
10196,45.469215,-75.716432,60001
10196,45.469197,-75.716457,60002
10196,45.469106,-75.716520,60003
10196,45.468780,-75.716925,60004
10196,45.468444,-75.717433,60005
10196,45.466581,-75.720211,60006
10196,45.466072,-75.720959,60007
10196,45.465400,-75.721974,60008
10196,45.465182,-75.722278,60009
10196,45.464782,-75.722797,60010
10196,45.464337,-75.723418,60011
10196,45.462484,-75.726170,60012
10196,45.462111,-75.726728,60013
10196,45.462109,-75.726731,60014
10196,45.462109,-75.726731,70001
10196,45.461820,-75.727172,70002
10196,45.461720,-75.727350,70003
10196,45.461620,-75.727528,70004
10196,45.461547,-75.727629,70005
10196,45.461465,-75.727743,70006
10196,45.461266,-75.727971,70007
10196,45.460904,-75.728324,70008
10196,45.460442,-75.728741,70009
10196,45.460134,-75.728992,70010
10196,45.459682,-75.729294,70011
10196,45.459511,-75.729406,70012
10196,45.459330,-75.729506,70013
10196,45.459158,-75.729594,70014
10196,45.458987,-75.729681,70015
10196,45.458806,-75.729768,70016
10196,45.458608,-75.729855,70017
10196,45.458346,-75.729954,70018
10196,45.458084,-75.730028,70019
10196,45.457913,-75.730077,70020
10196,45.457733,-75.730125,70021
10196,45.457562,-75.730162,70022
10196,45.457327,-75.730210,70023
10196,45.457102,-75.730232,70024
10196,45.456868,-75.730255,70025
10196,45.456580,-75.730251,70026
10196,45.456292,-75.730247,70027
10196,45.455878,-75.730217,70028
10196,45.455572,-75.730161,70029
10196,45.455096,-75.730066,70030
10196,45.454925,-75.730038,70031
10196,45.454251,-75.729863,70032
10196,45.453694,-75.729728,70033
10196,45.453523,-75.729687,70034
10196,45.453352,-75.729647,70035
10196,45.452696,-75.729523,70036
10196,45.451986,-75.729322,70037
10196,45.451869,-75.729282,70038
10196,45.451600,-75.729189,70039
10196,45.451446,-75.729148,70040
10196,45.451446,-75.729148,80001
10196,45.450908,-75.729001,80002
10196,45.450405,-75.728867,80003
10196,45.449767,-75.728693,80004
10196,45.448922,-75.728464,80005
10196,45.448760,-75.728437,80006
10196,45.447260,-75.728034,80007
10196,45.446514,-75.727845,80008
10196,45.446054,-75.727737,80009
10196,45.446054,-75.727737,90001
10196,45.445939,-75.727710,90002
10196,45.445750,-75.727707,90003
10196,45.445606,-75.727706,90004
10196,45.444183,-75.727726,90005
10196,45.443544,-75.727794,90006
10196,45.443012,-75.727864,90007
10196,45.442706,-75.727911,90008
10196,45.442265,-75.727842,90009
10196,45.441777,-75.728193,90010
10196,45.441635,-75.728215,90011
10196,45.441635,-75.728215,100001
10196,45.441543,-75.728229,100002
10196,45.441155,-75.728377,100003
10196,45.440561,-75.728318,100004
10196,45.440426,-75.728265,100005
10196,45.440085,-75.728223,100006
10196,45.439760,-75.728257,100007
10196,45.438724,-75.728397,100008
10196,45.438166,-75.728479,100009
10196,45.437589,-75.728561,100010
10196,45.436589,-75.728715,100011
10196,45.434616,-75.728996,100012
10196,45.434544,-75.729008,100013
10196,45.431868,-75.729408,100014
10196,45.431309,-75.729468,100015
10196,45.431309,-75.729468,110001
10196,45.431219,-75.729477,110002
10196,45.431176,-75.729418,110003
10196,45.431176,-75.729418,120001
10196,45.431112,-75.729335,120002
10196,45.430843,-75.729242,120003
10196,45.430528,-75.729161,120004
10196,45.430492,-75.729148,120005
10196,45.430492,-75.729148,130001
10196,45.430492,-75.729148,130002
10196,45.430439,-75.729070,130003
10196,45.430412,-75.729044,130004
10196,45.430394,-75.728993,130005
10196,45.430386,-75.728942,130006
10196,45.430377,-75.728878,130007
10196,45.430378,-75.728763,130008
10196,45.430387,-75.728699,130009
10196,45.430405,-75.728661,130010
10196,45.430424,-75.728623,130011
10196,45.430478,-75.728534,130012
10196,45.430505,-75.728521,130013
10196,45.430541,-75.728496,130014
10196,45.430649,-75.728498,130015
10196,45.430685,-75.728511,130016
10196,45.430721,-75.728537,130017
10196,45.430748,-75.728563,130018
10196,45.430775,-75.728589,130019
10196,45.430998,-75.728924,130020
10196,45.431096,-75.729040,130021
10196,45.431150,-75.729079,130022
10196,45.431195,-75.729106,130023
10196,45.431240,-75.729132,130024
10196,45.431293,-75.729145,130025
10196,45.431347,-75.729146,130026
10196,45.431393,-75.729134,130027
10196,45.431447,-75.729096,130028
10196,45.431492,-75.729084,130029
10196,45.431537,-75.729046,130030
10196,45.431672,-75.729022,130031
10196,45.431726,-75.728997,130032
10196,45.431799,-75.728960,130033
10196,45.431826,-75.728947,130034
10196,45.431871,-75.728897,130035
10196,45.431917,-75.728834,130036
10196,45.431944,-75.728796,130037
10196,45.431971,-75.728732,130038
10196,45.431990,-75.728656,130039
10196,45.432147,-75.727980,130040
10196,45.432172,-75.726945,130041
10196,45.432192,-75.726065,130042
10196,45.432192,-75.726065,140001
10196,45.432196,-75.725858,140002
10196,45.432228,-75.725092,140003
10196,45.432265,-75.723596,140004
10196,45.432247,-75.722139,140005
10196,45.432248,-75.722037,140006
10196,45.432231,-75.721883,140007
10196,45.432234,-75.721629,140008
10196,45.432234,-75.721629,150001
10196,45.432249,-75.720438,150002
10196,45.432332,-75.718726,150003
10196,45.432411,-75.717551,150004
10196,45.432452,-75.716746,150005
10196,45.432535,-75.715610,150006
10196,45.432535,-75.715610,160001
10196,45.432560,-75.715265,160002
10196,45.432484,-75.714446,160003
10196,45.432451,-75.714010,160004
10196,45.432427,-75.713614,160005
10196,45.432359,-75.712910,160006
10196,45.432086,-75.712955,160007
10196,45.432086,-75.712955,170001
10196,45.431152,-75.713112,170002
10196,45.430989,-75.713136,170003
10196,45.429980,-75.713315,170004
10196,45.429962,-75.713314,170005
10196,45.429935,-75.713340,170006
10196,45.429674,-75.713375,170007
10196,45.429114,-75.713479,170008
10196,45.429114,-75.713479,180001
10196,45.428710,-75.713554,180002
10196,45.427493,-75.713756,180003
10196,45.425959,-75.714008,180004
10196,45.425959,-75.714008,190001
10196,45.424654,-75.714014,190002
10196,45.424654,-75.714014,200001
10196,45.424963,-75.720393,200002
10199,45.481055,-75.684252,10001
10199,45.481051,-75.684273,10002
10199,45.480987,-75.684413,10003
10199,45.480923,-75.684643,10004
10199,45.480868,-75.684809,10005
10199,45.480758,-75.685127,10006
10199,45.480675,-75.685408,10007
10199,45.480592,-75.685778,10008
10199,45.480407,-75.686556,10009
10199,45.480194,-75.687462,10010
10199,45.480167,-75.687589,10011
10199,45.479788,-75.689248,10012
10199,45.479390,-75.690945,10013
10199,45.479205,-75.691749,10014
10199,45.478983,-75.692757,10015
10199,45.478586,-75.694454,10016
10199,45.478428,-75.695194,10017
10199,45.478234,-75.696036,10018
10199,45.478031,-75.696904,10019
10199,45.477977,-75.697170,10020
10199,45.477977,-75.697170,20001
10199,45.477920,-75.697452,20002
10199,45.477809,-75.697912,20003
10199,45.477615,-75.698754,20004
10199,45.477402,-75.699647,20005
10199,45.477180,-75.700616,20006
10199,45.476986,-75.701484,20007
10199,45.476856,-75.702058,20008
10199,45.476477,-75.703678,20009
10199,45.476348,-75.704214,20010
10199,45.476200,-75.704775,20011
10199,45.476090,-75.705106,20012
10199,45.475925,-75.705603,20013
10199,45.475788,-75.705960,20014
10199,45.475605,-75.706393,20015
10199,45.475341,-75.706965,20016
10199,45.475122,-75.707385,20017
10199,45.474840,-75.707880,20018
10199,45.474713,-75.708070,20019
10199,45.474313,-75.708679,20020
10199,45.473822,-75.709415,20021
10199,45.472905,-75.710785,20022
10199,45.471460,-75.712929,20023
10199,45.470933,-75.713703,20024
10199,45.470597,-75.714198,20025
10199,45.470252,-75.714718,20026
10199,45.469997,-75.715111,20027
10199,45.469815,-75.715429,20028
10199,45.469642,-75.715746,20029
10199,45.469569,-75.715925,20030
10199,45.469215,-75.716432,20031
10199,45.469215,-75.716432,30001
10199,45.469197,-75.716457,30002
10199,45.469106,-75.716520,30003
10199,45.468780,-75.716925,30004
10199,45.468444,-75.717433,30005
10199,45.466581,-75.720211,30006
10199,45.466072,-75.720959,30007
10199,45.465400,-75.721974,30008
10199,45.465182,-75.722278,30009
10199,45.464782,-75.722797,30010
10199,45.464337,-75.723418,30011
10199,45.462484,-75.726170,30012
10199,45.462111,-75.726728,30013
10199,45.462109,-75.726731,30014
10199,45.462109,-75.726731,40001
10199,45.461820,-75.727172,40002
10199,45.461720,-75.727350,40003
10199,45.461620,-75.727528,40004
10199,45.461547,-75.727629,40005
10199,45.461465,-75.727743,40006
10199,45.461266,-75.727971,40007
10199,45.460904,-75.728324,40008
10199,45.460442,-75.728741,40009
10199,45.460134,-75.728992,40010
10199,45.459682,-75.729294,40011
10199,45.459511,-75.729406,40012
10199,45.459330,-75.729506,40013
10199,45.459158,-75.729594,40014
10199,45.458987,-75.729681,40015
10199,45.458806,-75.729768,40016
10199,45.458608,-75.729855,40017
10199,45.458346,-75.729954,40018
10199,45.458084,-75.730028,40019
10199,45.457913,-75.730077,40020
10199,45.457733,-75.730125,40021
10199,45.457562,-75.730162,40022
10199,45.457327,-75.730210,40023
10199,45.457102,-75.730232,40024
10199,45.456868,-75.730255,40025
10199,45.456580,-75.730251,40026
10199,45.456292,-75.730247,40027
10199,45.455878,-75.730217,40028
10199,45.455572,-75.730161,40029
10199,45.455096,-75.730066,40030
10199,45.454925,-75.730038,40031
10199,45.454251,-75.729863,40032
10199,45.453694,-75.729728,40033
10199,45.453523,-75.729687,40034
10199,45.453352,-75.729647,40035
10199,45.452696,-75.729523,40036
10199,45.451986,-75.729322,40037
10199,45.451869,-75.729282,40038
10199,45.451600,-75.729189,40039
10199,45.451446,-75.729148,40040
10199,45.451446,-75.729148,50001
10199,45.450908,-75.729001,50002
10199,45.450405,-75.728867,50003
10199,45.449767,-75.728693,50004
10199,45.448922,-75.728464,50005
10199,45.448760,-75.728437,50006
10199,45.447260,-75.728034,50007
10199,45.446514,-75.727845,50008
10199,45.446054,-75.727737,50009
10199,45.446054,-75.727737,60001
10199,45.445939,-75.727710,60002
10199,45.445750,-75.727707,60003
10199,45.445606,-75.727706,60004
10199,45.444183,-75.727726,60005
10199,45.443544,-75.727794,60006
10199,45.443012,-75.727864,60007
10199,45.442706,-75.727911,60008
10199,45.442265,-75.727842,60009
10199,45.441777,-75.728193,60010
10199,45.441635,-75.728215,60011
10199,45.441635,-75.728215,70001
10199,45.441543,-75.728229,70002
10199,45.441155,-75.728377,70003
10199,45.440561,-75.728318,70004
10199,45.440426,-75.728265,70005
10199,45.440085,-75.728223,70006
10199,45.439760,-75.728257,70007
10199,45.438724,-75.728397,70008
10199,45.438166,-75.728479,70009
10199,45.437589,-75.728561,70010
10199,45.436589,-75.728715,70011
10199,45.434616,-75.728996,70012
10199,45.434544,-75.729008,70013
10199,45.431868,-75.729408,70014
10199,45.431309,-75.729468,70015
10199,45.431309,-75.729468,80001
10199,45.431219,-75.729477,80002
10199,45.431176,-75.729418,80003
10199,45.431176,-75.729418,90001
10199,45.431112,-75.729335,90002
10199,45.430843,-75.729242,90003
10199,45.430528,-75.729161,90004
10199,45.430492,-75.729148,90005
10199,45.430492,-75.729148,100001
10199,45.430492,-75.729148,100002
10199,45.430439,-75.729070,100003
